LineId,Date,Time,Level,Content,EventId,EventTemplate,ParameterList
1,Oct,8,08,59:10 test-pc sudo:     root : problem with defaults entries ; TTY=unknown ; PWD=/ ; USER=test ;,8bd0ff48,<*> test-pc sudo: <*> : problem with defaults entries ; <*> ; <*> ; <*> ;,"['59:10', 'root', 'TTY=unknown', 'PWD=/', 'USER=test']"
2,Oct,8,08,59:10 test-pc sudo:     root : TTY=unknown ; PWD=/ ; USER=test ; ENV=DISPLAY=:0 XAUTHORITY=/home/test/.Xauthority ; COMMAND=/usr/bin/xdg-open http://capnet.elementary.io,a289d69d,<*> test-pc sudo: root : TTY=unknown ; PWD=/ ; USER=test ; ENV=DISPLAY=:0 XAUTHORITY=/home/test/.Xauthority ; COMMAND=/usr/bin/xdg-open http://capnet.elementary.io,['59:10']
3,Oct,8,08,59:10 test-pc sudo: pam_unix(sudo:session): session opened for user test by (uid=0),8a0ea4d5,<*> test-pc <*> <*> session opened for user <*> by <*>,"['59:10', 'sudo: pam_unix(sudo:session):', 'test', '(uid=0)']"
4,Oct,8,08,59:11 test-pc sshd[1118400]: pam_unix(sshd:session): session closed for user test,d782cc31,<*> test-pc <*> <*> session closed for user <*>,"['59:11', 'sshd[1118400]: pam_unix(sshd:session):', 'test']"
5,Oct,8,08,59:11 test-pc systemd-logind[3524]: Session 167 logged out. Waiting for processes to exit.,d91f08a9,<*> test-pc <*> Session <*> logged out. Waiting for processes to exit.,"['59:11', 'systemd-logind[3524]:', '167']"
6,Oct,8,08,59:11 test-pc systemd-logind[3524]: Removed session 167.,88b9b064,<*> test-pc <*> Removed session <*>,"['59:11', 'systemd-logind[3524]:', '167.']"
7,Oct,8,09,00:01 test-pc CRON[1200949]: pam_unix(cron:session): session opened for user root by (uid=0),8a0ea4d5,<*> test-pc <*> <*> session opened for user <*> by <*>,"['00:01', 'CRON[1200949]: pam_unix(cron:session):', 'root', '(uid=0)']"
8,Oct,8,09,00:01 test-pc CRON[1200950]: pam_unix(cron:session): session opened for user root by (uid=0),8a0ea4d5,<*> test-pc <*> <*> session opened for user <*> by <*>,"['00:01', 'CRON[1200950]: pam_unix(cron:session):', 'root', '(uid=0)']"
9,Oct,8,09,00:01 test-pc CRON[1200949]: pam_unix(cron:session): session closed for user root,d782cc31,<*> test-pc <*> <*> session closed for user <*>,"['00:01', 'CRON[1200949]: pam_unix(cron:session):', 'root']"
10,Oct,8,09,00:44 test-pc sshd[1201635]: Accepted publickey for test from 172.25.84.216 port 49455 ssh2: RSA SHA256:uSnfiCrhEOj0lBbLBrwx6GB79lZl/4aXxV9sC+bzy40,d5e51ab9,<*> test-pc <*> Accepted publickey for test from <*> port <*> ssh2: RSA <*>,"['00:44', 'sshd[1201635]:', '172.25.84.216', '49455', 'SHA256:uSnfiCrhEOj0lBbLBrwx6GB79lZl/4aXxV9sC+bzy40']"
