LineId,Date,Time,Level,Content,EventId,EventTemplate,ParameterList
1,Oct,11,09,"12:28 test-pc dbus-daemon[128494]: [session uid=1000 pid=128492] [limitCtl]: full_limit_name is /etc/dbus-1/conf/com.kylin.dlp.TransControl.limit, id is 2",f083ab81,"<*> test-pc <*> [session uid=1000 <*> [limitCtl]: full_limit_name is /etc/dbus-1/conf/com.kylin.dlp.TransControl.limit, id is 2","['12:28', 'dbus-daemon[128494]:', 'pid=128492]']"
2,Oct,11,10,42:46 test-pc kernel: [71408.720729][T168593] Modules linked in: ky_dlp(OE) uas usb_storage dlp_file_pro(OE) st iptable_filter rfcomm cmac algif_hash vboxnetadp(OE) algif_skcipher vboxnetflt(OE) af_alg vboxdrv(OE) bnep snd_soc_skl_hda_dsp snd_soc_intel_hda_dsp_common snd_soc_hdac_hdmi snd_soc_dmic hid_generic x86_pkg_temp_thermal intel_powerclamp mei_hdcp coretemp intel_rapl_msr kvm_intel kvm snd_hda_codec_hdmi snd_hda_codec_realtek snd_hda_codec_generic crct10dif_pclmul crc32_pclmul snd_sof_pci snd_sof_intel_byt snd_sof_intel_ipc snd_sof_intel_hda_common snd_soc_hdac_hda ghash_clmulni_intel snd_sof_xtensa_dsp snd_sof_intel_hda snd_sof iwlmvm snd_hda_ext_core rapl snd_soc_acpi_intel_match uvcvideo intel_cstate snd_soc_acpi btusb videobuf2_vmalloc btrtl snd_soc_core videobuf2_memops videobuf2_v4l2 mac80211 usbhid btbcm snd_compress videobuf2_common btintel ac97_bus bluetooth joydev snd_pcm_dmaengine videodev snd_hda_intel wmi_bmof libarc4 mc hid snd_intel_dspcfg ecdh_generic ecc intel_wmi_thunderbolt,460be061,<*> test-pc kernel: <*> Modules linked in: ky_dlp(OE) uas usb_storage dlp_file_pro(OE) st iptable_filter rfcomm cmac algif_hash vboxnetadp(OE) algif_skcipher vboxnetflt(OE) af_alg vboxdrv(OE) bnep snd_soc_skl_hda_dsp snd_soc_intel_hda_dsp_common snd_soc_hdac_hdmi snd_soc_dmic hid_generic x86_pkg_temp_thermal intel_powerclamp mei_hdcp coretemp intel_rapl_msr kvm_intel kvm snd_hda_codec_hdmi snd_hda_codec_realtek snd_hda_codec_generic crct10dif_pclmul crc32_pclmul snd_sof_pci snd_sof_intel_byt snd_sof_intel_ipc snd_sof_intel_hda_common snd_soc_hdac_hda ghash_clmulni_intel snd_sof_xtensa_dsp snd_sof_intel_hda snd_sof iwlmvm snd_hda_ext_core rapl snd_soc_acpi_intel_match uvcvideo intel_cstate snd_soc_acpi btusb videobuf2_vmalloc btrtl snd_soc_core videobuf2_memops videobuf2_v4l2 mac80211 usbhid btbcm snd_compress videobuf2_common btintel ac97_bus bluetooth joydev snd_pcm_dmaengine videodev snd_hda_intel wmi_bmof libarc4 mc hid snd_intel_dspcfg ecdh_generic ecc intel_wmi_thunderbolt,"['42:46', '[71408.720729][T168593]']"
3,Oct,11,10,42:46 test-pc kernel: [71408.720767][T168593]  snd_hda_codec e1000e snd_hda_core iwlwifi snd_hwdep snd_pcm thunderbolt thinkpad_acpi nvram ledtrig_audio cfg80211 mei_me intel_pch_thermal snd_seq_midi mei snd_seq_midi_event processor_thermal_device intel_rapl_common snd_rawmidi intel_soc_dts_iosf ucsi_acpi typec_ucsi typec snd_seq snd_seq_device snd_timer snd soundcore int3403_thermal int340x_thermal_zone intel_hid int3400_thermal sparse_keymap acpi_thermal_rel acpi_pad sch_fq_codel vmwgfx ttm parport_pc ppdev lp parport ramoops reed_solomon efi_pstore ip_tables x_tables autofs4 nls_iso8859_1 multipath linear rtsx_pci_sdmmc i915 aesni_intel glue_helper crypto_simd cryptd input_leds psmouse serio_raw nvme i2c_algo_bit drm_kms_helper syscopyarea sysfillrect sysimgblt fb_sys_fops cec nvme_core drm rtsx_pci wmi video pinctrl_cannonlake mac_hid [last unloaded: ky_dlp],0626a324,<*> test-pc kernel: <*> <*> <*> <*> <*> <*> snd_pcm <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> intel_soc_dts_iosf <*> <*> <*> snd_seq snd_seq_device snd_timer snd soundcore int3403_thermal int340x_thermal_zone intel_hid int3400_thermal <*> acpi_thermal_rel <*> sch_fq_codel vmwgfx ttm parport_pc ppdev lp parport ramoops reed_solomon efi_pstore ip_tables x_tables autofs4 nls_iso8859_1 multipath linear rtsx_pci_sdmmc i915 aesni_intel glue_helper crypto_simd cryptd <*> <*> serio_raw <*> <*> drm_kms_helper syscopyarea sysfillrect <*> <*> <*> <*> drm rtsx_pci wmi video pinctrl_cannonlake mac_hid [last unloaded: <*>,"['42:46', '[71408.720767][T168593]', 'snd_hda_codec', 'e1000e snd_hda_core iwlwifi snd_hwdep', 'thunderbolt', 'thinkpad_acpi', 'nvram', 'ledtrig_audio', 'cfg80211', 'mei_me', 'intel_pch_thermal snd_seq_midi mei snd_seq_midi_event processor_thermal_device intel_rapl_common snd_rawmidi', 'ucsi_acpi', 'typec_ucsi typec', 'sparse_keymap', 'acpi_pad', 'input_leds psmouse', 'nvme i2c_algo_bit', 'sysimgblt', 'fb_sys_fops cec nvme_core', 'ky_dlp]']"
4,Oct,11,10,42:46 test-pc kernel: [71408.720805][T168593] CPU: 1 PID: 168593 Comm: kydlp-d Tainted: G        W  OE     5.10.0-8-generic #33~v10pro-KYLINOS,cc453a05,42:46 test-pc kernel: [71408.720805][T168593] CPU: 1 PID: 168593 Comm: kydlp-d Tainted: G W OE 5.10.0-8-generic #33~v10pro-KYLINOS,[]
5,Oct,11,10,42:46 test-pc kernel: [71408.720830][T168593]  get_hash+0x57/0xf0 [dlp_file_pro],84ee4ecf,42:46 test-pc kernel: <*> <*> [dlp_file_pro],['[71408.720830][T168593]  get_hash+0x57/0xf0']
6,Oct,11,10,42:46 test-pc kernel: [71408.720831][T168593]  control_by_blacklist+0xa6/0xf0 [dlp_file_pro],84ee4ecf,42:46 test-pc kernel: <*> <*> [dlp_file_pro],['[71408.720831][T168593]  control_by_blacklist+0xa6/0xf0']
7,Oct,11,10,42:46 test-pc kernel: [71408.720840][T168593]  dlp_file_open+0xab/0x110 [dlp_file_pro],84ee4ecf,42:46 test-pc kernel: <*> <*> [dlp_file_pro],['[71408.720840][T168593]  dlp_file_open+0xab/0x110']
8,Oct,11,11,12:19 test-pc kernel: [73181.447888][T130498] [   3487]     0  3487   137832        0   126976      315             0 kydlp-control,d9dc1e94,12:19 test-pc kernel: [73181.447888][T130498] [ 3487] 0 3487 137832 0 126976 315 0 kydlp-control,[]
9,Oct,11,11,12:19 test-pc kernel: [73181.448355][T130498] [ 168590]     0 168590  9456827  2413803 53301248  4082944             0 kydlp-d,892f2aeb,12:19 test-pc kernel: [73181.448355][T130498] [ 168590] 0 168590 9456827 2413803 53301248 4082944 0 kydlp-d,[]
10,Oct,11,11,"12:19 test-pc kernel: [73181.448378][T130498] oom-kill:constraint=CONSTRAINT_NONE,nodemask=(null),cpuset=/,mems_allowed=0,global_oom,task_memcg=/user.slice/user-1000.slice/session-40.scope,task=kydlp-d,pid=168590,uid=0",db8c86d7,"12:19 test-pc kernel: [73181.448378][T130498] oom-kill:constraint=CONSTRAINT_NONE,nodemask=(null),cpuset=/,mems_allowed=0,global_oom,task_memcg=/user.slice/user-1000.slice/session-40.scope,task=kydlp-d,pid=168590,uid=0",[]
