EventId,EventTemplate,Occurrences
f083ab81,"<*> test-pc <*> [session uid=1000 <*> [limitCtl]: full_limit_name is /etc/dbus-1/conf/com.kylin.dlp.TransControl.limit, id is 2",4
460be061,<*> test-pc kernel: <*> Modules linked in: ky_dlp(OE) uas usb_storage dlp_file_pro(OE) st iptable_filter rfcomm cmac algif_hash vboxnetadp(OE) algif_skcipher vboxnetflt(OE) af_alg vboxdrv(OE) bnep snd_soc_skl_hda_dsp snd_soc_intel_hda_dsp_common snd_soc_hdac_hdmi snd_soc_dmic hid_generic x86_pkg_temp_thermal intel_powerclamp mei_hdcp coretemp intel_rapl_msr kvm_intel kvm snd_hda_codec_hdmi snd_hda_codec_realtek snd_hda_codec_generic crct10dif_pclmul crc32_pclmul snd_sof_pci snd_sof_intel_byt snd_sof_intel_ipc snd_sof_intel_hda_common snd_soc_hdac_hda ghash_clmulni_intel snd_sof_xtensa_dsp snd_sof_intel_hda snd_sof iwlmvm snd_hda_ext_core rapl snd_soc_acpi_intel_match uvcvideo intel_cstate snd_soc_acpi btusb videobuf2_vmalloc btrtl snd_soc_core videobuf2_memops videobuf2_v4l2 mac80211 usbhid btbcm snd_compress videobuf2_common btintel ac97_bus bluetooth joydev snd_pcm_dmaengine videodev snd_hda_intel wmi_bmof libarc4 mc hid snd_intel_dspcfg ecdh_generic ecc intel_wmi_thunderbolt,4
0626a324,<*> test-pc kernel: <*> <*> <*> <*> <*> <*> snd_pcm <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> intel_soc_dts_iosf <*> <*> <*> snd_seq snd_seq_device snd_timer snd soundcore int3403_thermal int340x_thermal_zone intel_hid int3400_thermal <*> acpi_thermal_rel <*> sch_fq_codel vmwgfx ttm parport_pc ppdev lp parport ramoops reed_solomon efi_pstore ip_tables x_tables autofs4 nls_iso8859_1 multipath linear rtsx_pci_sdmmc i915 aesni_intel glue_helper crypto_simd cryptd <*> <*> serio_raw <*> <*> drm_kms_helper syscopyarea sysfillrect <*> <*> <*> <*> drm rtsx_pci wmi video pinctrl_cannonlake mac_hid [last unloaded: <*>,6
cc453a05,42:46 test-pc kernel: [71408.720805][T168593] CPU: 1 PID: 168593 Comm: kydlp-d Tainted: G W OE 5.10.0-8-generic #33~v10pro-KYLINOS,2
84ee4ecf,42:46 test-pc kernel: <*> <*> [dlp_file_pro],6
d9dc1e94,12:19 test-pc kernel: [73181.447888][T130498] [ 3487] 0 3487 137832 0 126976 315 0 kydlp-control,2
892f2aeb,12:19 test-pc kernel: [73181.448355][T130498] [ 168590] 0 168590 9456827 2413803 53301248 4082944 0 kydlp-d,2
db8c86d7,"12:19 test-pc kernel: [73181.448378][T130498] oom-kill:constraint=CONSTRAINT_NONE,nodemask=(null),cpuset=/,mems_allowed=0,global_oom,task_memcg=/user.slice/user-1000.slice/session-40.scope,task=kydlp-d,pid=168590,uid=0",2
b6731a0a,"12:19 test-pc kernel: [73181.448423][T130498] Out of memory: Killed process 168590 (kydlp-d) total-vm:37827308kB, anon-rss:9655212kB, file-rss:0kB, shmem-rss:0kB, UID:0 pgtables:52052kB oom_score_adj:0",2
85bd854a,"12:20 test-pc kernel: [73183.334456][ T63] oom_reaper: reaped process 168590 (kydlp-d), now anon-rss:0kB, file-rss:0kB, shmem-rss:0kB",2
4537f41a,<*> test-pc kernel: <*> dlp_file_pro: user[1000] task[mv] rename sensitive file: <*>,4
f81fdd8f,<*> test-pc kernel: <*> Security Module <*> removed,13
2e4c5110,<*> test-pc kernel: <*> dlp_file_pro module <*>,20
7bb1e64f,<*> test-pc kernel: <*> Security Module <*> loaded with <*> hooks,13
7d661fcd,<*> test-pc kernel: <*> <*> kernel module add LSM hooks successfully.,13
41048a90,<*> test-pc kernel: <*> <*> kernel module sysfs init successfully.,13
2cbd9f18,<*> test-pc kernel: <*> dlp_file_pro: uid=1000 <*> comm=mv rename sensitive file: <*>,12
d4d35c36,<*> test-pc kernel: <*> dlp_file_pro: uid=1000 <*> comm=/usr/bin/mv rename sensitive file: <*> to <*>,12
03bf8cc1,<*> test-pc kernel: <*> dlp_file_pro: uid=1000 <*> comm=/usr/bin/mv rename sensitive file <*> <*> old_ino=3932162 new_ino=3932162,10
